CustomerID,Name,Age,Gender,City,JoinDate,PurchaseAmount
100,Priya,twenty,,Mumbai,,2000
101,Kiran,27,Female,Trichy,15-02-2023,1700 
102,Meena,,Male,chennai,15-02-2023,1500
103,Sneha,,,Delhi,2023-01-15,
104,Aisha,35,Female,Cuddalore,20230115,1700 
105,Meena,25,Male,Trichy,15-02-2023,1500
106,Kiran,30,FEMALE,Coimbatore,2023-01-15,abc
107,Ramesh,,male,Trichy,2023-01-15,
108,,27,,Coimbatore,32/01/2023,2000
109,Mohan,,Female,chennai,2023/03/10,2500
110,Kiran,27,,chennai,Jan 15 2023,abc
111,RAHUL,25,Female,Chennai,20230115,2000
110,Karthik,28 ,male,Mumbai,Jan 15 2023,1500
113,John Doe,35,Female,Chennai,2023-13-40,1200
114,Meena,28 ,FEMALE,Delhi,15-02-2023,1500
115,jane smith,25,male,Chennai,2023/03/10,
116,,27,Female,Chennai,2023.04.05,1200
117,Karthik,27,FEMALE,Coimbatore,,1700 
118,,27,Male,Coimbatore,2023/03/10,abc
119,Kiran,35,,,2023.04.05,
110,jane smith,30,Female,Mumbai,2023-01-15,
121,John Doe,30,Male,chennai,2023-13-40,2500
122,John Doe,28 ,Female,Trichy,2023/03/10,1800
123,RAHUL,28 ,,Delhi,Jan 15 2023,abc
124,Karthik,,Male,Chennai,2023.04.05,1500
125,Sneha,30,,Madurai,Jan 15 2023,2500
126,Niyaz,,FEMALE,Madurai,,
127,Meena,,Female,chennai,2023.04.05,1500
128,Anu,,,Coimbatore,2023-01-15,2500
129,,25,FEMALE,Madurai,2023/03/10,1500
130,Niyaz,twenty,,Mumbai,2023/03/10,1200
131,Ramesh,twenty,,Mumbai,2023-13-40,1800
132,Anu,28 ,Female,Mumbai,2023/03/10,1500
133,jane smith,,Female, Bangalore ,2023/03/10,1500
134,RAHUL,30,FEMALE, Bangalore ,2023-01-15,1700 
135,Sneha,35,FEMALE,Madurai,2023.04.05,1700 
136,Kiran,27,FEMALE,Trichy,20230115,
137,RAHUL,27,Male,Trichy,32/01/2023,1800
138,Mohan,twenty,male,Chennai,2023.04.05,2000
139,John Doe,twenty,,Trichy,2023/03/10,1700 
140,Niyaz,35,Female,Delhi,Jan 15 2023,1200
141,RAHUL,,male,Trichy,Jan 15 2023,
142,Aisha,,Female, Bangalore ,32/01/2023,2000
143,Meena,twenty,male,Trichy,2023-13-40,1700 
144,Anu,35,Female,Chennai,15-02-2023,2000
110,Arun,twenty,,Coimbatore,32/01/2023,1500
146,,,FEMALE,Coimbatore,,1200
147,John Doe,,FEMALE, Bangalore ,2023/03/10,1700 
148,Meena,27,,Chennai,20230115,1200
149,Aisha,,, Bangalore ,Jan 15 2023,1200
110,Vijay,35,,chennai,2023-13-40,1800
151,Kiran,30,,Delhi,20230115,1800
152,jane smith,twenty,male,chennai,20230115,abc
153,Karthik,twenty,,Trichy,15-02-2023,1800
154,Arun,,,Coimbatore,,2000
155,Arun,,Male,Chennai,2023.04.05,1200
156,,25,Male,Cuddalore,2023/03/10,abc
157,Arun,35,,Trichy,2023/03/10,1700 
158,John Doe,,Female,Madurai,20230115,1700 
159,Ramesh,twenty,Male,Trichy,,1700 
110,Mohan,35,male,Cuddalore,2023-13-40,1700 
110,RAHUL,25,Male,Chennai,20230115,2000
162,Arun,30,Female,Chennai,15-02-2023,1200
